START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
1/1/2016 21:11,1/1/2016 21:17,Business,Fort Pierce,Fort Pierce,5,Meal/Entertain
1/2/2016 20:25,1/2/2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
1/5/2016 17:31,1/5/2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting
1/6/2016 14:42,1/6/2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
1/6/2016 17:15,1/6/2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
1/6/2016 17:30,1/6/2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting
1/7/2016 13:27,1/7/2016 13:33,Business,Cary,Cary,0.8,Meeting
1/10/2016 8:05,1/10/2016 8:25,Business,Cary,Morrisville,8.3,Meeting
1/10/2016 12:17,1/10/2016 12:44,Business,Jamaica,New York,16.5,Customer Visit
1/10/2016 15:08,1/10/2016 15:51,Business,New York,Queens,10.8,Meeting
1/10/2016 18:18,1/10/2016 18:53,Business,Elmhurst,New York,7.5,Meeting
1/10/2016 19:12,1/10/2016 19:32,Business,Midtown,East Harlem,6.2,Meeting
1/11/2016 8:55,1/11/2016 9:21,Business,East Harlem,NoMad,6.4,Temporary Site
1/11/2016 11:56,1/11/2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies
1/11/2016 13:32,1/11/2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain
1/11/2016 14:30,1/11/2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain
1/12/2016 12:33,1/12/2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain
1/12/2016 12:53,1/12/2016 13:09,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
1/12/2016 14:42,1/12/2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
1/12/2016 15:13,1/12/2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
1/12/2016 15:42,1/12/2016 15:54,Business,Hell's Kitchen,Midtown,2,Errand/Supplies
1/12/2016 16:02,1/12/2016 17:00,Business,New York,Queens County,15.1,Meeting
1/13/2016 13:54,1/13/2016 14:07,Business,Downtown,Gulfton,11.2,Meeting
1/13/2016 15:00,1/13/2016 15:28,Business,Gulfton,Downtown,11.8,Meeting
1/14/2016 16:29,1/14/2016 17:05,Business,Houston,Houston,21.9,Customer Visit
1/14/2016 21:39,1/14/2016 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
1/15/2016 0:41,1/15/2016 1:01,Business,Morrisville,Cary,8,Errand/Supplies
1/15/2016 11:43,1/15/2016 12:03,Business,Cary,Durham,10.4,Meal/Entertain
1/15/2016 13:26,1/15/2016 13:44,Business,Durham,Cary,10.4,Meal/Entertain
1/18/2016 14:55,1/18/2016 15:06,Business,Cary,Cary,4.8,Meal/Entertain
1/18/2016 16:13,1/18/2016 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
1/19/2016 10:55,1/19/2016 11:09,Business,Lake Wellingborough,Whitebridge,7.2,Temporary Site
1/20/2016 10:36,1/20/2016 11:11,Business,Cary,Raleigh,7.6,Meeting
1/20/2016 11:48,1/20/2016 12:19,Business,Fayetteville Street,Umstead,17.1,Meeting
1/20/2016 13:25,1/20/2016 14:19,Business,Raleigh,Cary,15.1,Customer Visit
1/21/2016 14:25,1/21/2016 14:29,Business,Cary,Cary,40.2,Errand/Supplies
1/21/2016 14:43,1/21/2016 14:51,Business,Cary,Cary,1.6,Meal/Entertain
1/21/2016 16:01,1/21/2016 16:06,Business,Cary,Cary,2.4,Meal/Entertain
1/26/2016 10:41,1/26/2016 10:50,Business,Whitebridge,Hazelwood,1,Meal/Entertain
1/26/2016 12:33,1/26/2016 12:41,Business,Hazelwood,Whitebridge,2,Errand/Supplies
1/26/2016 16:24,1/26/2016 16:32,Business,Whitebridge,Westpark Place,2.3,Errand/Supplies
1/26/2016 17:17,1/26/2016 17:22,Business,Cary,Cary,1.9,Errand/Supplies
1/26/2016 17:27,1/26/2016 17:29,Business,Cary,Cary,1.4,Errand/Supplies
1/27/2016 9:24,1/27/2016 9:31,Business,Cary,Cary,0.5,Meeting
1/27/2016 10:19,1/27/2016 10:48,Business,Cary,Raleigh,1.8,Customer Visit
1/27/2016 12:34,1/27/2016 12:44,Business,Fairmont,Meredith Townes,18.7,Customer Visit
1/27/2016 14:05,1/27/2016 14:13,Business,Raleigh,Raleigh,3.4,Customer Visit
1/27/2016 14:46,1/27/2016 15:08,Business,Raleigh,Cary,2.7,Customer Visit
